time,ids,centers,rotation
11-06 17:10:25.08,(32),"(-58.85   ,  63.53125)",(3.0606888983527116)
11-06 17:10:25.19,(32),"(-58.18125,  64.86875)",(3.089008430534165)
11-06 17:10:25.31,(32),"(-58.18125,  66.20625)",(3.0628090182888776)
11-06 17:10:25.42,(32),"(-57.5125,  66.875 )",(3.0875907071820388)
11-06 17:10:25.53,(32),"(-57.5125,  66.875 )",(3.0628090182888776)
11-06 17:10:25.64,(32),"(-57.5125,  68.2125)",(3.0606888983527116)
11-06 17:10:25.75,(32),"(-56.84375,  69.55   )",(3.0875907071820388)
11-06 17:10:25.85,(32),"(-56.84375,  70.21875)",(3.0628090182888776)
11-06 17:10:25.96,(32),"(-56.84375,  71.55625)",(3.0367158305332063)
11-06 17:10:26.08,(32),"(-56.175,  72.225)",(3.0628090182888776)
11-06 17:10:26.19,(32),"(-56.175 ,  73.5625)",(3.0606888983527116)
11-06 17:10:26.30,(32),"(-55.50625,  74.23125)",(3.0628090182888776)
11-06 17:10:26.41,(32),"(-55.50625,  75.56875)",(3.0606888983527116)
11-06 17:10:26.51,(32),"(-54.8375,  76.2375)",(3.0606888983527116)
11-06 17:10:26.62,(32),"(-54.16875,  77.575  )",(3.0606888983527116)
11-06 17:10:26.73,(32),"(-54.16875,  77.575  )",(3.0367158305332063)
11-06 17:10:26.85,(32),"(-53.5    ,  78.24375)",(3.0875907071820388)
11-06 17:10:26.96,(32),"(-53.5    ,  79.58125)",(3.033903123401792)
11-06 17:10:27.06,(32),"(-52.83125,  80.25   )",(3.0606888983527116)
11-06 17:10:27.18,(32),"(-52.1625 ,  80.91875)",(3.0875907071820388)
11-06 17:10:27.29,(32),"(-51.49375,  81.5875 )",(3.0628090182888776)
11-06 17:10:27.41,(32),"(-50.825,  82.925)",(3.0606888983527116)
11-06 17:10:27.52,(32),"(-50.15625,  83.59375)",(3.0628090182888776)
11-06 17:10:27.64,(32),"(-49.4875 ,  84.93125)",(3.0875907071820388)
11-06 17:10:27.73,(32),"(-48.81875,  85.6    )",(3.0628090182888776)
11-06 17:10:27.84,(32),"(-48.81875,  86.26875)",(3.0606888983527116)
11-06 17:10:27.95,(32),"(-48.81875,  86.9375 )",(3.0584518236639573)
11-06 17:10:28.06,(32),"(-47.48125,  86.9375 )",(3.089008430534165)
11-06 17:10:28.17,(32),"(-46.8125 ,  87.60625)",(3.0628090182888776)
11-06 17:10:28.28,(32),"(-46.14375,  87.60625)",(3.0628090182888776)
11-06 17:10:28.39,(32),"(-45.475  ,  88.94375)",(3.0606888983527116)
11-06 17:10:28.50,(32),"(-44.80625,  89.6125 )",(3.0606888983527116)
11-06 17:10:28.62,(32),"(-44.1375 ,  90.28125)",(3.0606888983527116)
11-06 17:10:28.72,(32),"(-43.46875,  91.61875)",(3.0584518236639573)
11-06 17:10:28.82,(32),"(-42.8    ,  91.61875)",(3.0628090182888776)
11-06 17:10:28.94,(32),"(-42.13125,  92.95625)",(3.0584518236639573)
11-06 17:10:29.05,(32),"(-41.4625 ,  92.95625)",(3.089008430534165)
11-06 17:10:29.16,(32),"(-41.4625 ,  92.95625)",(3.0606888983527116)
11-06 17:10:29.28,(32),"(-40.125,  93.625)",(3.0875907071820388)
11-06 17:10:29.39,(32),"(-39.45625,  94.29375)",(3.0606888983527116)
11-06 17:10:29.50,(32),"(-38.7875,  94.9625)",(3.0606888983527116)
11-06 17:10:29.61,(32),"(-38.11875,  95.63125)",(3.0606888983527116)
11-06 17:10:29.72,(32),"(-37.45   ,  96.96875)",(3.0606888983527116)
11-06 17:10:29.84,(32),"(-36.1125 ,  96.96875)",(3.0875907071820388)
11-06 17:10:29.95,(32),"(-35.44375,  96.96875)",(3.0606888983527116)
11-06 17:10:30.06,(32),"(-34.775  ,  96.96875)",(3.0606888983527116)
11-06 17:10:30.17,(32),"(-34.10625,  96.96875)",(3.0606888983527116)
11-06 17:10:30.29,(32),"(-34.10625,  96.96875)",(3.0606888983527116)
11-06 17:10:30.40,(32),"(-33.4375 ,  96.96875)",(3.0606888983527116)
11-06 17:10:30.51,(32),"(-32.76875,  97.6375 )",(3.0606888983527116)
11-06 17:10:30.62,(32),"(-32.1   ,  97.6375)",(3.0875907071820388)
11-06 17:10:30.73,(32),"(-31.43125,  97.6375 )",(3.0875907071820388)
11-06 17:10:30.84,(32),"(-31.43125,  96.96875)",(3.115281281864082)
11-06 17:10:30.96,(32),"(-30.7625 ,  96.96875)",(3.115281281864082)
11-06 17:10:31.07,(32),"(-30.09375,  97.6375 )",(3.141592653589793)
11-06 17:10:31.16,(32),"(-29.425  ,  96.96875)",(3.1679040253155044)
11-06 17:10:31.28,(32),"(-29.425  ,  96.96875)",(3.1686126851673384)
11-06 17:10:31.39,(32),"(-29.425  ,  96.96875)",(3.1686126851673384)
11-06 17:10:31.50,(32),"(-28.75625,  96.96875)",(3.1686126851673384)
11-06 17:10:31.61,(32),"(-28.75625,  96.96875)",(3.1686126851673384)
11-06 17:10:31.73,(32),"(-28.0875 ,  96.96875)",(3.1679040253155044)
11-06 17:10:31.84,(32),"(-27.41875,  96.96875)",(3.1955945999975475)
11-06 17:10:31.96,(32),"(-26.75   ,  96.96875)",(3.1955945999975475)
11-06 17:10:32.07,(32),"(-26.08125,  96.96875)",(3.1955945999975475)
11-06 17:10:32.17,(32),"(-25.4125 ,  96.96875)",(3.224733483515629)
11-06 17:10:32.28,(32),"(-25.4125 ,  96.96875)",(3.224733483515629)
11-06 17:10:32.39,(32),"(-24.74375,  96.3    )",(3.2203762888907086)
11-06 17:10:32.50,(32),"(-24.075  ,  96.96875)",(3.2492821837777943)
11-06 17:10:32.61,(32),"(-24.075  ,  96.96875)",(3.2224964088268746)
11-06 17:10:32.72,(32),"(-24.075  ,  96.96875)",(3.2492821837777943)
11-06 17:10:32.82,(32),"(-23.40625,  96.96875)",(3.2759136768783157)
11-06 17:10:32.93,(32),"(-23.40625,  96.96875)",(3.2492821837777943)
11-06 17:10:33.05,(32),"(-22.06875,  96.3    )",(3.3023553253114106)
