time,ids,centers,rotation
11-06 15:50:10.62,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.72,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.82,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:10.94,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.05,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.16,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.28,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.40,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.51,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.62,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.74,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.84,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:11.96,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.08,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.19,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.30,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.42,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.53,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.75,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.87,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:12.98,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.09,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.20,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.31,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.41,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.53,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.76,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.86,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:13.97,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.08,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:14.20,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.31,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.43,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.54,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.64,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.75,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.86,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:14.97,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.08,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.20,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.31,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.43,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.53,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.76,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.88,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:15.99,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.10,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.20,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.31,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.42,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.54,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.77,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.88,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:16.99,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.10,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.22,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.33,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.43,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.56,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.67,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.79,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:17.90,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.00,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.11,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.22,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.33,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.45,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.56,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.67,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.79,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:18.90,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.01,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.13,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.24,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.36,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.47,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.58,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.70,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.81,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:19.93,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.04,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.15,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.27,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.37,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.49,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.61,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.72,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:20.83,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
