time,ids,centers,rotation
11-06 15:43:51.79,(32),"(32.1, 32.1)",(3.1955945999975475)
11-06 15:43:51.91,(32),"(32.76875, 31.43125)",(3.1686126851673384)
11-06 15:43:52.02,(32),"(34.10625, 30.7625 )",(3.1941768766454213)
11-06 15:43:52.12,(32),"(34.10625, 30.09375)",(3.1686126851673384)
11-06 15:43:52.23,(32),"(34.775, 29.425)",(3.1686126851673384)
11-06 15:43:52.35,(32),"(36.1125 , 28.75625)",(3.1686126851673384)
11-06 15:43:52.46,(32),"(37.45  , 28.0875)",(3.1679040253155044)
11-06 15:43:52.55,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:52.67,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:52.78,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:52.89,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.01,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.12,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.24,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.35,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.47,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.58,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.69,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.81,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:53.92,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:54.03,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:54.14,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:54.26,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:54.37,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:54.49,(32),"(37.45  , 28.0875)",(3.1686126851673384)
11-06 15:43:54.60,(32),"(38.7875 , 27.41875)",(3.141592653589793)
11-06 15:43:54.71,(32),"(39.45625, 26.75   )",(3.1679040253155044)
11-06 15:43:54.81,(32),"(39.45625, 26.75   )",(3.141592653589793)
11-06 15:43:54.92,(32),"(40.125  , 26.08125)",(3.141592653589793)
11-06 15:43:55.04,(32),"(41.4625, 25.4125)",(3.141592653589793)
11-06 15:43:55.15,(32),"(42.13125, 24.075  )",(3.1679040253155044)
11-06 15:43:55.26,(32),"(42.8    , 23.40625)",(3.141592653589793)
11-06 15:43:55.38,(32),"(42.8   , 22.7375)",(3.141592653589793)
