start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
517,1564,2843,3848,3880
518,1550,2790,3784,3780
519,1553,2774,3756,3710
520,1537,2727,3702,3637
521,1509,2668,3624,3537
522,1495,2624,3600,3492
523,1458,2542,3532,3402
524,1440,2493,3516,3368
525,1414,2430,3490,3327
526,1391,2353,3448,3278
527,1334,2261,3368,3205
528,1298,2168,3309,3137
529,1291,2132,3302,3149
531,1272,2089,3251,3118
532,1251,2046,3228,3136
533,1238,2005,3183,3146
534,1219,1969,3137,3172
535,1189,1923,3085,3136
536,1195,1940,3109,3165
537,1193,1944,3109,3169
538,1190,1946,3091,3151
539,1190,1973,3142,3226
540,1181,2002,3232,3362
541,1182,2085,3431,3556
542,1185,2230,3613,3688
543,1194,2376,3720,3752
544,1204,2485,3764,3782
545,1217,2555,3782,3811
546,1237,2618,3810,3863
547,1251,2643,3804,3868
548,1264,2650,3779,3842
549,1265,2609,3721,3751
550,1279,2611,3682,3705
551,1293,2593,3642,3633
552,1298,2563,3597,3563
553,1328,2559,3572,3538
554,1347,2556,3612,3615
556,1357,2552,3695,3723
557,1359,2559,3780,3808
558,1362,2575,3835,3884
559,1362,2588,3853,3908
560,1365,2591,3841,3900
561,1371,2587,3811,3894
562,1380,2575,3784,3935
563,1400,2567,3792,4019
564,1422,2560,3801,4079
565,1442,2571,3848,4156
566,1453,2576,3864,4208
567,1472,2590,3899,4246
568,1477,2596,3905,4229
569,1480,2600,3887,4171
570,1475,2594,3840,4070
571,1470,2589,3788,3959
572,1454,2562,3706,3815
573,1448,2550,3650,3708
574,1445,2538,3605,3643
575,1439,2523,3605,3636
576,1431,2520,3660,3677
577,1431,2541,3742,3715
579,1412,2525,3742,3667
580,1402,2521,3737,3624
581,1384,2500,3669,3532
582,1390,2499,3655,3479
583,1384,2474,3596,3400
584,1388,2459,3546,3332
585,1385,2421,3496,3266
586,1379,2378,3438,3202
587,1369,2330,3382,3145
588,1357,2280,3329,3098
589,1341,2234,3279,3058
590,1319,2178,3238,3033
591,1307,2138,3198,3009
592,1276,2066,3117,2950
593,1253,2005,3091,2943
594,1235,1958,3035,2912
595,1223,1914,2978,2892
596,1217,1884,2920,2873
597,1219,1882,2885,2866
598,1218,1869,2836,2853
599,1219,1858,2798,2853
600,1202,1820,2725,2820
601,1187,1782,2667,2797
602,1164,1748,2647,2800
603,1148,1730,2621,2798
605,1142,1715,2649,2813
606,1142,1715,2684,2828
607,1147,1717,2710,2823
608,1159,1731,2734,2810
609,1175,1755,2761,2811
610,1191,1806,2796,2809
611,1196,1848,2823,2821
612,1192,1896,2871,2858
613,1185,1964,2947,2903
614,1177,2047,3032,2943
615,1179,2119,3075,2956
616,1188,2165,3085,2958
617,1202,2194,3078,2951
618,1219,2214,3061,2933
619,1233,2229,3061,2897
620,1246,2242,3046,2848
621,1253,2244,3015,2777
622,1267,2256,2994,2709
623,1276,2248,2958,2654
624,1286,2247,2929,2610
625,1297,2229,2900,2582
626,1294,2189,2852,2555
628,1307,2167,2839,2565
629,1309,2127,2803,2561
630,1318,2102,2788,2576
631,1331,2083,2778,2593
632,1342,2068,2765,2610
633,1351,2056,2752,2624
634,1363,2051,2743,2646
635,1364,2035,2716,2653
636,1357,2017,2683,2654
637,1350,2001,2662,2657
638,1335,1981,2646,2654
639,1318,1958,2633,2641
640,1301,1944,2660,2676
641,1274,1915,2686,2716
642,1253,1893,2762,2806
643,1232,1877,2867,2889
644,1218,1875,2955,2941
645,1201,1888,3018,2960
646,1196,1927,3046,2951
647,1205,1968,3049,2950
648,1219,2036,3072,2955
649,1233,2080,3057,2928
650,1260,2120,3025,2903
652,1287,2147,3000,2885
653,1301,2139,2941,2837
654,1320,2141,2911,2812
655,1342,2152,2900,2800
656,1352,2155,2879,2765
657,1388,2194,2917,2797
658,1408,2226,2924,2777
659,1433,2247,2937,2782
660,1444,2260,2930,2769
661,1451,2275,2931,2788
662,1453,2290,2949,2821
663,1454,2309,2983,2850
664,1444,2320,2990,2853
665,1446,2353,3019,2873
666,1406,2331,2970,2839
667,1400,2349,2998,2837
668,1391,2329,2983,2831
669,1388,2337,3011,2896
670,1383,2332,3051,2975
671,1381,2332,3105,3034
672,1371,2330,3127,3046
673,1365,2329,3126,3030
674,1365,2338,3115,3008
675,1368,2343,3103,2977
677,1373,2344,3082,2938
678,1379,2341,3056,2898
679,1392,2348,3047,2867
680,1398,2340,3019,2817
681,1396,2326,2986,2764
682,1402,2311,2954,2721
683,1402,2294,2923,2684
684,1400,2279,2900,2661
685,1400,2265,2881,2652
686,1398,2255,2871,2651
687,1397,2249,2869,2675
688,1392,2236,2866,2696
689,1397,2254,2882,2719
690,1399,2260,2891,2737
691,1403,2271,2898,2743
692,1407,2269,2882,2728
693,1414,2255,2849,2695
694,1418,2230,2801,2651
695,1420,2210,2765,2613
696,1420,2194,2735,2577
697,1421,2189,2725,2555
698,1418,2187,2718,2536
700,1414,2185,2715,2523
701,1406,2184,2714,2516
702,1395,2182,2714,2522
703,1380,2176,2705,2531
704,1366,2160,2683,2535
705,1352,2132,2655,2537
706,1341,2097,2624,2537
707,1333,2061,2599,2535
708,1327,2033,2580,2513
709,1320,2024,2587,2511
710,1305,2021,2575,2478
711,1306,2022,2560,2444
712,1297,2013,2533,2409
713,1292,2003,2505,2377
714,1285,1979,2461,2340
715,1282,1954,2423,2310
716,1276,1927,2388,2273
717,1274,1908,2360,2232
718,1271,1891,2330,2185
719,1258,1854,2270,2109
720,1254,1863,2279,2080
721,1252,1876,2256,2038
